stream,trap_location,date,time,hours_fished,debris_gal,water_temp,weather_code,staff_gage_ft,flow_cfs,total_revs,before_rpms,after_rpms,comments
deer creek,leininger ranch,2022-11-02T00:00:00Z,1899-12-31T09:19:00Z,NA,7,11,3,102,102,NA,5,5,NA
deer creek,deer,2022-11-02T00:00:00Z,1899-12-31T02:00:00Z,NA,NA,8.5,NA,92,92,NA,NA,NA,NA
deer creek,deer,2022-11-04T00:00:00Z,1899-12-31T10:19:00Z,NA,5,12,4,81,81,NA,4,4,NA
deer creek,leininger ranch,2022-11-07T00:00:00Z,1899-12-31T10:08:00Z,NA,30,11,1,118,118,NA,6,4,NA
deer creek,NA,2022-11-08T00:00:00Z,1899-12-31T12:23:00Z,NA,30,9,4,191,191,NA,7.5,7.5,NA
deer creek,deer,2022-11-09T00:00:00Z,1899-12-31T09:50:00Z,NA,5,10,2,152,152,NA,2,2,NA
deer creek,deer,2022-11-16T00:00:00Z,1899-12-31T10:00:00Z,NA,33,8,2,83,83,NA,NA,NA,NA
deer creek,NA,2022-11-17T00:00:00Z,1899-12-31T08:32:00Z,NA,5,8,1,83,83,NA,4,4,NA
deer creek,deer,2022-11-18T00:00:00Z,1899-12-31T09:00:00Z,NA,4,6,NA,83,83,NA,1,4,cone not spinning at arrival. Too shallow. Moved trap and raised cone. Trap running @ 4rpms
deer creek,NA,2022-11-21T00:00:00Z,1899-12-31T09:33:00Z,NA,55,7,2,80,80,NA,0,2,trap filled with foliage. Could not move
deer creek,NA,2022-11-22T00:00:00Z,1899-12-31T08:30:00Z,NA,5,6,1,80,80,NA,2,2,NA
deer creek,NA,2022-11-23T00:00:00Z,1899-12-31T08:10:00Z,NA,8,9,1,82,82,NA,0,0,cone not in current. Raised today
deer creek,deer,2022-11-29T00:00:00Z,1899-12-31T08:00:00Z,NA,20,7,1,85,85,NA,4,3,NA
deer creek,NA,2022-11-30T00:00:00Z,1899-12-31T08:00:00Z,NA,30,4.5,2,88,88,NA,0,0,cone not spinning
deer creek,deer,2022-12-06T00:00:00Z,1899-12-31T08:51:00Z,NA,70,8,1,214,214,NA,5,4,NA
deer creek,deer,2022-12-07T00:00:00Z,1899-12-31T12:17:00Z,NA,5,8,1,146,146,NA,0,4.5,cone not spinning
deer creek,deer,2022-12-08T00:00:00Z,1899-12-31T09:00:00Z,NA,3,7,3,126,126,NA,0.5,0,raised cone
deer creek,deer,2022-12-13T00:00:00Z,1899-12-31T10:19:00Z,NA,25,6,1,198,198,NA,6,5,NA
deer creek,deer,2022-12-14T00:00:00Z,1899-12-31T10:36:00Z,NA,5,6,1,159,159,6,3,3,NA
deer creek,deer,2022-12-15T00:00:00Z,1899-12-31T10:55:00Z,NA,4,6,1,141,141,NA,2,1.75,cone spinning slow when we arrived
deer creek,deer,2022-12-16T00:00:00Z,1899-12-31T11:47:00Z,NA,5.5,6.5,1,127,127,NA,1.5,1.75,NA
deer creek,deer,2022-12-17T00:00:00Z,1899-12-31T10:25:00Z,NA,2,6,1,120,120,NA,1.5,1,"trap was moving abnormally when we arrived. Super slow, would stop (no sounds of it hitting bottom). I think we need a larger rope to move it into the flow."
deer creek,deer,2022-12-19T00:00:00Z,NA,NA,NA,5,3,108,108,NA,0,5,cone not spinning
deer creek,deer,2022-12-20T00:00:00Z,1899-12-31T11:30:00Z,NA,10,7,2,108,108,NA,3.5,3.5,NA
deer creek,deer,2022-12-21T00:00:00Z,1899-12-31T11:04:00Z,NA,5,8.9,2,105,105,NA,3.75,3.75,NA
deer creek,deer,2022-12-22T00:00:00Z,1899-12-31T10:36:00Z,NA,5,8,6,107,107,NA,4.5,NA,NA
deer creek,deer,2022-12-23T00:00:00Z,1899-12-31T10:57:00Z,NA,8,9.5,3,110,110,NA,5.5,5.75,NA
deer creek,deer,2022-12-24T00:00:00Z,1899-12-31T01:40:00Z,NA,6,9,1,120,120,NA,4.5,0,pulled trap up
deer creek,deer,2023-01-24T00:00:00Z,1899-12-31T09:04:00Z,NA,5,8,1,336,336,5,5,5,NA
deer creek,deer,2023-01-25T00:00:00Z,NA,NA,1,0,1,313,313,NA,4,4,NA
deer creek,deer,2023-01-26T00:00:00Z,1899-12-31T09:15:00Z,NA,1,9,1,294,294,NA,4,5,NA
deer creek,deer,2023-01-27T00:00:00Z,1899-12-31T10:30:00Z,NA,3,8.5,3,276,276,NA,3.25,3.25,NA
deer creek,deer,2023-01-30T00:00:00Z,NA,NA,5,5.5,1,236,236,NA,3.5,NA,NA
deer creek,deer,2023-01-31T00:00:00Z,1899-12-31T10:50:00Z,NA,2,3,1,220,220,NA,3.5,NA,NA
deer creek,deer,2023-02-01T00:00:00Z,1899-12-31T10:18:00Z,NA,1,3,NA,220,220,NA,3.5,3.5,NA
deer creek,deer,2023-02-03T00:00:00Z,1899-12-31T11:00:00Z,NA,4.5,11,2,210,210,NA,4,4,NA
deer creek,deer,2023-02-04T00:00:00Z,NA,NA,NA,9.5,NA,200,200,NA,2.5,2.5,NA
deer creek,deer,2023-02-06T00:00:00Z,1899-12-31T11:21:00Z,NA,5,8.5,1,200,200,NA,4,3.5,debris in trap - large branch a entrance
deer creek,deer,2023-02-07T00:00:00Z,1899-12-31T01:14:00Z,NA,1,9,2,231,231,NA,4,3.5,3 BBY fish
deer creek,deer,2023-02-08T00:00:00Z,1899-12-31T08:30:00Z,NA,0,7,2,226,226,NA,3.25,3,NA
deer creek,deer,2023-02-09T00:00:00Z,1899-12-31T09:53:00Z,NA,0,8,1,218,218,NA,4,NA,moved trap closer to river left
deer creek,deer,2023-02-10T00:00:00Z,1899-12-31T10:00:00Z,NA,NA,6,1,212,212,NA,5.25,5.5,NA
deer creek,deer,2023-02-11T00:00:00Z,1899-12-31T09:15:00Z,NA,2,8,2,218,218,NA,5.5,6,NA
deer creek,deer,2023-02-13T00:00:00Z,NA,NA,3,10,1,207,207,NA,5,5.5,NA
deer creek,deer,2023-02-14T00:00:00Z,1899-12-31T15:34:00Z,NA,0,9.5,1,207,207,NA,6,NA,NA
deer creek,deer,2023-02-15T00:00:00Z,NA,NA,1,6,1,205,205,NA,6,6,cone sleeve alignment and depres [sic] in cone
deer creek,deer,2023-02-16T00:00:00Z,1899-12-31T11:20:00Z,NA,1,NA,NA,NA,NA,NA,NA,NA,trap repairs - cone sleeve
deer creek,deer,2023-02-17T00:00:00Z,1899-12-31T10:30:00Z,1,NA,6,NA,192,192,NA,5,5,NA
deer creek,deer,2023-02-21T00:00:00Z,1899-12-31T12:07:00Z,NA,5,7.7,1,183,183,NA,6,6,NA
deer creek,deer,2023-02-22T00:00:00Z,1899-12-31T10:00:00Z,NA,1,8,1,185,185,NA,5.5,5.5,NA
deer creek,deer,2023-02-23T00:00:00Z,NA,NA,4,7,NA,180,180,NA,6,NA,NA
deer creek,deer,2023-02-25T00:00:00Z,1899-12-31T10:00:00Z,NA,15,6,3,202,202,NA,4,4.5,"1 mort chisal, 1 mort ?, lots of debris from storm yesterday/not checking trap"
deer creek,deer,2023-02-27T00:00:00Z,1899-12-31T13:19:00Z,NA,5,7,4,507,507,NA,3,NA,NA
deer creek,deer,2023-02-28T00:00:00Z,1899-12-31T10:45:00Z,NA,5,7,3,332,332,NA,2,NA,NA
deer creek,deer,2023-03-01T00:00:00Z,1899-12-31T08:45:00Z,NA,1,6,1,313,313,NA,2.5,NA,trap stuck in eddy due to high flow event
deer creek,deer,2023-03-02T00:00:00Z,1899-12-31T09:13:00Z,NA,1,5,1,279,279,NA,5,5,NA
deer creek,deer,2023-03-03T00:00:00Z,1899-12-31T10:20:00Z,NA,1,9,1,294,294,NA,4.5,5,NA
deer creek,deer,2023-03-04T00:00:00Z,1899-12-31T10:20:00Z,NA,3,8,windy/cloudy,319,319,NA,5,NA,cone pulled
deer creek,deer,2023-03-08T00:00:00Z,1899-12-31T09:33:00Z,NA,1,5,1,443,443,NA,7,NA,raised cone at 9:30
deer creek,deer,2023-04-12T00:00:00Z,1899-12-31T09:26:00Z,NA,3,10,1,1071,1071,NA,4,7,NA
deer creek,deer,2023-04-13T00:00:00Z,1899-12-31T11:00:00Z,NA,15,9,7,1006,1006,NA,7,7,NA
deer creek,deer,2023-04-17T00:00:00Z,1899-12-31T12:15:00Z,NA,15,10,3,820,820,NA,4.5,4,NA
deer creek,deer,2023-04-18T00:00:00Z,1899-12-31T03:16:00Z,NA,5,10,2,717,717,NA,6,NA,NA
deer creek,deer,2023-04-20T00:00:00Z,1899-12-31T03:48:00Z,NA,5,NA,1,743,743,NA,4,4,NA
deer creek,deer,2023-04-21T00:00:00Z,1899-12-31T11:00:00Z,NA,1,9,1,886,886,NA,6.5,6.5,NA
deer creek,deer,2023-04-24T00:00:00Z,1899-12-31T03:07:00Z,NA,10,12,1,922,922,NA,5,NA,NA
deer creek,deer,2023-04-25T00:00:00Z,1899-12-31T02:40:00Z,NA,3,12,1,1000,1000,NA,6,6,NA
deer creek,deer,2023-04-27T00:00:00Z,1899-12-31T12:57:00Z,NA,3,13,1,1022,1022,NA,5,5,NA
deer creek,deer,2023-04-28T00:00:00Z,1899-12-31T10:30:00Z,NA,2,12,1,1000,1000,NA,9,9,NA
deer creek,deer,2023-05-03T00:00:00Z,1899-12-31T03:15:00Z,NA,5,11,2,891,891,NA,4.5,NA,NA
deer creek,deer,2023-05-08T00:00:00Z,1899-12-31T10:45:00Z,NA,2,11,2,702,702,NA,4,NA,NA
deer creek,deer,2023-05-09T00:00:00Z,1899-12-31T02:30:00Z,NA,1,10,1,692,692,NA,NA,NA,2 BBY
deer creek,deer,2023-05-11T00:00:00Z,NA,NA,1,10,1,620,620,NA,NA,NA,NA
deer creek,deer,2023-05-12T00:00:00Z,1899-12-31T11:00:00Z,24,1,11,1,753,753,NA,7,7,NA
deer creek,deer,2023-05-15T00:00:00Z,1899-12-31T14:48:00Z,NA,10,14,NA,938,938,NA,NA,NA,11 BBY
deer creek,deer,2023-05-16T00:00:00Z,1899-12-31T12:30:00Z,NA,14,7,NA,969,969,NA,7.5,7.5,NA
deer creek,deer,2023-05-17T00:00:00Z,1899-12-31T01:21:00Z,NA,14,1,NA,941,941,NA,9.5,NA,NA
deer creek,deer,2023-05-18T00:00:00Z,1899-12-31T12:45:00Z,NA,NA,14,1,946,946,NA,NA,NA,NA
deer creek,deer,2023-05-19T00:00:00Z,1899-12-31T09:40:00Z,NA,2,14,1,951,951,NA,9,NA,fishing for weekend
deer creek,deer,2023-05-22T00:00:00Z,1899-12-31T12:30:00Z,NA,NA,15,1,843,843,NA,7,7,NA
deer creek,deer,2023-05-23T00:00:00Z,1899-12-31T11:30:00Z,NA,0.5,14,1,814,814,NA,6.5,6.5,NA
deer creek,deer,2023-05-24T00:00:00Z,1899-12-31T13:12:00Z,NA,5,15,2,743,743,NA,9,9,NA
deer creek,deer,2023-05-25T00:00:00Z,1899-12-31T10:35:00Z,NA,1,14,1,707,707,NA,NA,NA,NA
deer creek,deer,2023-05-26T00:00:00Z,1899-12-31T15:00:00Z,NA,1.5,15,1,654,654,NA,6,6,NA
deer creek,deer,2023-06-01T00:00:00Z,1899-12-31T11:53:00Z,NA,1,15,1,466,466,NA,NA,NA,turtle in trap and one o. mykiss with c fin damage - possibly hatchery fish
deer creek,deer,2023-06-02T00:00:00Z,1899-12-31T12:06:00Z,NA,NA,15,NA,435,435,NA,NA,NA,pulled screen for weekend
deer creek,deer,2023-06-06T00:00:00Z,1899-12-31T09:30:00Z,NA,1,16,4,377,377,NA,5,5,NA
deer creek,deer,2023-06-08T00:00:00Z,1899-12-31T08:41:00Z,NA,0,16,2,380,380,NA,5,5,JSAT tags not activating
deer creek,deer,2023-06-13T00:00:00Z,1899-12-31T11:41:00Z,NA,1,16,1,332,332,NA,NA,NA,NA
deer creek,deer,2023-06-14T00:00:00Z,1899-12-31T08:48:00Z,NA,4,16,1,303,303,NA,5,NA,NA
deer creek,deer,2023-06-20T00:00:00Z,1899-12-31T12:04:00Z,NA,0,17,1,NA,NA,NA,NA,NA,NA
